Mol1	O=C(Nc1cccc2cccnc12)c1cc(Br)ccc1Br
Mol136	CC(=O)c1ccc(-c2cccc3cccnc23)s1
Mol137	BrC(Br)(Br)c1ccc2ccccc2n1
Mol138	COc1ccc(C(=O)Oc2cccc3cccnc23)cc1
Mol139	O=C(COc1cccc2cccnc12)c1ccc(Cl)cc1
Mol140	CC(C)C(C)O/N=C/c1cccc2cccnc12
Mol141	C=C(C)CC(=O)Nc1cccc2cccnc12
Mol142	N#Cc1ccc(S(=O)(=O)Nc2cccc3cccnc23)cc1
Mol143	COC(=O)/C=C/c1ccc(COc2cccc3cccnc23)cc1
Mol144	CC1CN(c2cccc3cccnc23)C1=O
Mol145	Cc1cc(Br)cc(C(=O)Nc2cnc3ccccc3c2)c1
Mol146	O=Cc1cc(Cl)ccc1NCc1cccc2cccnc12
Mol147	CC(C)(C#N)C(=O)Nc1cccc2cccnc12
Mol148	O=S(=O)(Nc1cccc2cccnc12)c1ccccc1Cl
Mol149	[2H]C(=O)c1cnc2ccccc2c1
Mol150	Cc1ncc2ccccc2n1
Mol151	CC(=O)Nc1cccnc1NC(=O)Cc1ccc(C)s1
Mol152	c1ccc(Oc2cccc3cccnc23)cc1
Mol153	NC(=O)C1CC(Oc2cccc3cccnc23)C1
Mol154	O=C(COc1cccc2cccnc12)c1ccc(Br)cc1
Mol155	Cc1ccc2ncc(CO)cc2c1
Mol156	O=S(=O)(O)c1cccc2ncccc12
Mol157	Cc1cc(S(=O)(=O)Nc2cnc3ccccc3c2)c(C)cc1Cl
Mol158	O=S(=O)(Nc1cccc2cccnc12)c1ccc(C(F)(F)F)nc1
Mol159	CCOC(=O)CCC(=O)Nc1cccc2cccnc12
Mol160	CC(NC1CCCCC1)C(=O)Nc1cccc2cccnc12
Mol161	O=[N+]([O-])c1cccc(OCc2cccc3cccnc23)c1
Mol162	CCCCc1cccc2cccnc12
Mol163	COc1ccc(C(=O)Cc2cccc3cccnc23)cc1
Mol164	COc1ccc(CNc2cccc3cccnc23)cc1
Mol165	O=C(Nc1cccc2cccnc12)Oc1ccccc1
Mol166	Cc1cc(/N=N/c2cccc3cccnc23)cc(C)c1O
Mol167	CCOC1CC(OCC)C1C(=O)Nc1cccc2cccnc12
Mol168	CCCCC(=O)Nc1cccc2cccnc12
Mol169	C/C(=C\c1ccccc1)C(=O)Nc1cccc2cccnc12
Mol170	S=C(S)c1ccc2ncccc2c1
Mol171	O=[N+]([O-])c1ccc(-c2cccc3cccnc23)cc1
Mol172	CC1(C(=O)Nc2cccc3cccnc23)CCN1CC1CC1
Mol173	Cc1ccc2nc(C)ccc2c1
Mol174	CC(=O)CCC(=O)c1cccc2cccnc12
Mol175	O=[N+]([O-])c1cccc(COc2cccc3cccnc23)c1
Mol176	O=C(Nc1cccc2cccnc12)c1cc(Cl)ccc1I
Mol177	OCCc1cccc2cccnc12
Mol178	Cc1cnc2ccc(F)cc2c1
Mol179	CC(C)OC(=O)NN(Cc1cccc2cccnc12)C(=O)OC(C)C
Mol180	CCN(CC)C(=O)Nc1cnc2ccccc2c1
Mol181	Cc1ccc(CCCC(=O)Nc2cccc3cccnc23)cc1
Mol182	CN(C)CCNC(=O)c1cccc2cccnc12
Mol183	COc1ccc(CNC(=O)Oc2cccc3cccnc23)cc1
Mol184	O=S(=O)(Nc1cccc2cccnc12)c1ccc(Cl)cc1Cl
Mol185	CC(CSC(F)(F)F)C(=O)Nc1cccc2cccnc12
Mol186	CC(=O)Nc1ccc(NC(=O)Nc2ccnc3cccnc23)cc1O
Mol187	CCCNC(=S)Nc1cccc2cccnc12
Mol188	CC(C(=O)Nc1cccc2cccnc12)C(C)(C)C
Mol189	Cc1cc(S)c2ccccc2n1
Mol190	CC(C)(C)OC(=O)N1CC(C(O)c2cccc3cccnc23)C1
Mol191	NNc1cccc2cccnc12
Mol192	CNNc1cccc2cccnc12
Mol193	Cc1cccc(C(=O)c2cccc3cccnc23)c1
Mol194	O=C(CC(F)c1ccc(F)cc1)Nc1cccc2cccnc12
Mol195	CCCCSC(=O)c1cccc2cccnc12
Mol196	CC(C)c1ccc(C(F)(F)F)cc1C(=O)Nc1cccc2cccnc12
Mol197	CCC(Cl)C(C)(C)C(=O)Nc1cccc2cccnc12
Mol198	CCC(C)OC(=O)COc1cccc2cccnc12
Mol199	Cc1cnc2cc(N(C)C)ccc2c1
Mol200	O=C(NCc1cccc2cccnc12)c1cccc(Br)c1
Mol201	CC(=O)Nc1ccccc1NC(=O)c1ccccc1
Mol202	CC(=O)CCc1cccc(F)c1C(=O)Nc1cccc2cccnc12
Mol203	Nc1ccccc1-c1cccc2cccnc12
Mol204	CC(c1cccc2cccnc12)N([O])C(C)(C)C
Mol205	CC(CC(=O)Nc1cccc2cccnc12)c1c(Cl)cccc1Cl
Mol206	O=[N+]([O-])c1ccc(-c2cccc3cccnc23)nc1
Mol207	CC(CC(=O)Nc1cccc2cccnc12)c1ccc(F)nc1
Mol208	Cc1n[nH]cc1CNc1cnc2ccccc2c1
Mol209	C=CC(Cc1ccc(Cl)cc1)C(=O)Nc1cccc2cccnc12
Mol210	CC(C)c1cccc2cccnc12
Mol211	CC(Cl)OC(=O)Nc1cccc2cccnc12
Mol212	COc1ccc(NCc2cccc3cccnc23)c(C=O)c1
Mol213	C=CC(C)(C)C(=O)Nc1cccc2cccnc12
Mol214	COC(=O)c1ccc(NCc2cccc3cccnc23)cc1
Mol215	COC1COCCC1C(=O)Nc1cccc2cccnc12
Mol216	Clc1ccc(COc2cccc3cccnc23)cc1
Mol217	COc1cc(NC(=O)c2ccc(Cl)cc2)c2ncccc2c1
Mol218	N#Cc1cc(F)c(C(=O)Nc2cccc3cccnc23)c(F)c1
Mol219	C=CCc1cccc(Cl)c1C(=O)Nc1cccc2cccnc12
Mol220	Brc1ccc(-c2cccc3cccnc23)cc1
Mol221	Nc1cccc2cccnc12
Mol222	CC(=O)Cc1cccc2cccnc12
Mol223	CC(C)C(F)CC(=O)Nc1cccc2cccnc12
Mol224	CC(C)(C)NC(=O)Nc1cccc2cccnc12
Mol225	CC1=CC(=O)N(c2cccc3cccnc23)C1=O
Mol226	O=C1CCCN1c1cnc2ccccc2c1
Mol227	Cc1[nH]cnc1C(C)c1cccc2cccnc12
Mol228	COc1cc(C(F)(F)F)nnc1-c1cccc2cccnc12
Mol229	O=C(Nc1cccc2cccnc12)c1cccc(Cl)c1O
Mol230	CC(C)Cc1cccc2cccnc12
Mol231	Oc1ccc2cccnc2c1
Mol232	COC(=O)C(Cc1cccc2cccnc12)C(=O)C1CC1
Mol233	COC(=O)c1ccccc1-c1cccc2cccnc12
Mol234	CC(C)Oc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol235	Cc1cccc(C(=O)NCc2cccc3cccnc23)c1
Mol236	CC(C)(C)OC(=O)NCC(=O)Nc1cccc2cccnc12
Mol237	Oc1c(F)cc(CSc2cccc3cccnc23)cc1Cl
Mol238	N#Cc1ccc(C(=O)Nc2cccc3cccnc23)c(F)c1
Mol239	Cc1ccc(C(=O)Nc2cccc3cccnc23)cn1
Mol240	Cc1ccc(C(=O)Oc2cccc3cccnc23)cc1
Mol241	Oc1cccc(/C=N/Nc2cccc3cccnc23)c1
Mol242	NCCOc1cccc2cccnc12
Mol243	COC(C)Oc1cccc2cccnc12
Mol244	O=C(c1ccc(F)c(F)c1)c1cccc2cccnc12
Mol245	Cc1ccccc1NC(=O)Oc1cccc2cccnc12
Mol246	CC(c1c[nH]cn1)c1cccc2cccnc12
Mol247	COc1ccc(Cl)c(Nc2cccc3cccnc23)c1
Mol248	O=[N+]([O-])c1ccc2ccccc2n1
Mol249	O=C(CI)Nc1cccc2cccnc12
Mol250	Cc1cccc(NC(=O)Oc2cccc3cccnc23)c1
Mol251	O=S(=O)(O)c1ccc2cccnc2c1
Mol252	O=C1CC(Oc2cccc3cccnc23)N1
Mol253	O=[N+]([O-])c1ccccc1COc1cccc2cccnc12
Mol254	CC(CCNc1cccc2cccnc12)c1ccccc1
Mol255	Fc1cnc2ccccc2c1
Mol256	Fc1c(F)c(F)c(-c2cccc3cccnc23)c(F)c1F
Mol257	Cc1ccc2ncccc2c1
Mol258	CC(O)CC1CCCN1C(=O)Nc1cccc2cccnc12
Mol259	O=C(OCc1ccccc1)c1cnc2ccccc2c1
Mol260	CCC1(C)CN(c2cccc3cccnc23)C1=O
Mol261	c1ccc2ncc(-n3cnnn3)cc2c1
Mol262	CC(=O)OC(C)c1cccc2cccnc12
Mol263	C=CCN(CC=C)c1cccc2cccnc12
Mol264	O=Cc1cc(COc2cccc3cccnc23)ccc1O
Mol265	S=C(Nc1cccc2cccnc12)c1ccccc1Cl
Mol266	COCC(C)C(=O)Nc1cccc2cccnc12
Mol267	O=C(Nc1ccc(C2CCNC2)cc1)Nc1cccc2cccnc12
Mol268	c1ccc(Nc2cccc3cccnc23)cc1
Mol269	O=C(Nc1cccc2cccnc12)c1ncccn1
Mol270	Cc1ccc(CC(C)(C)C(=O)Nc2cccc3cccnc23)s1
Mol271	CCCOc1ccc(C(=O)CCSc2cccc3cccnc23)cc1
Mol272	COC(=O)C(N)Cc1cccc2cccnc12
Mol273	CN(C)C(=O)Nc1cnc2ccccc2c1
Mol274	C#Cc1ccc(Br)cc1C(=O)Nc1cccc2cccnc12
Mol275	COc1ccnc(Oc2cnc3ccccc3c2)n1
Mol276	O=C(Nc1cccc2cccnc12)c1ccc(F)cc1Cl
Mol277	COc1ccc(C(=O)Nc2cccc3cccnc23)c(C)c1
Mol278	Cc1ccc(Nc2ccc3ccccc3n2)cc1
Mol279	O=C(NC(=S)Nc1cccc2cccnc12)c1ccccc1
Mol280	C(=C/c1ccc2ccccc2n1)\c1ccc2ccccc2n1
Mol281	Nc1cccc(OCc2cccc3cccnc23)c1
Mol282	COC(=O)c1ccccc1CSc1cccc2cccnc12
Mol283	CC1(C)CCC(=O)N1c1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol284	CCc1cccc2ncccc12
Mol285	CC(=O)Nc1ccc(-c2nc3cc4cccnc4c(Cl)c3[nH]2)cc1
Mol286	C/C(=C/C(=O)c1ccccc1)Nc1cccc2cccnc12
Mol287	CNc1ccccc1-c1cccc2cccnc12
Mol288	Cc1ccccc1OCC(=O)Nc1cnc2ccccc2c1
Mol289	N#Cc1ccc(Oc2cccc3cccnc23)nc1
Mol290	CC(C)(C)Sc1cccc2cccnc12
Mol291	Cc1ccccc1-c1cccc2cccnc12
Mol292	CC(C(=O)Nc1cccc2cccnc12)c1ccc(Cl)cc1
Mol293	CCC(CO)(CO)NC(=O)c1cccc2cccnc12
Mol294	O=C(CC1=CCCCC1)Nc1cccc2cccnc12
Mol295	Cl.c1cnc2c(c1)ccc1cccnc12
Mol296	O=C(Cc1ccccc1F)Nc1cccc2cccnc12
Mol297	O=S(=O)(Nc1cccc2cccnc12)c1ccc(Cl)s1
Mol298	O=C(O)/C=C/c1cnc2ccccc2c1
Mol299	N=C(COc1cccc2cccnc12)NN
Mol300	CC(=O)/C(=N\Nc1ccc(Cl)cc1Cl)Sc1cccc2cccnc12
Mol301	Cc1cc2ncc(-c3ccccc3)nc2cc1C
Mol302	COCCOCC(CO)C(=O)Nc1cccc2cccnc12
Mol303	c1ccc2ncc(-n3ccnc3)cc2c1
Mol304	CCCCOc1cccc2cccnc12
Mol305	COC(=O)c1cc(F)c(C(=O)Nc2cccc3cccnc23)c(F)c1
Mol306	CC(=O)Nc1cccc2ccc(O)cc12
Mol307	CCC(=O)NC(N=C(S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl
Mol308	CC(=O)Nc1ccccc1-c1nc2ccccc2nc1O
Mol309	Nc1cnc2ccccc2n1
Mol310	CC(=O)NC(C(=O)Nc1cccc2cccnc12)c1ccccc1
Mol311	CC(C)c1ccc2ccccc2n1
Mol312	CC(=O)NCCn1ccc2cccnc21
Mol313	O=C(NC1CCC(O)CC1)c1cccc2cccnc12
Mol314	Cc1ccc[n+](Cc2ccc3ccccc3n2)c1
Mol315	CC(=O)c1cnc2ccccc2c1
Mol316	IOc1cccc2cccnc12
Mol317	O=C(NO)c1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol318	c1ccc2ncc(-c3ccsc3)cc2c1
Mol319	CCCCS(=O)(=O)Nc1cccc2cccnc12
Mol320	CCC/C(=N\Nc1cccc2cccnc12)C(=O)O
Mol321	CC(C)(C)C(=O)Oc1cccc2cccnc12
Mol322	COC(=O)/C=C/CNC(=O)c1cccc2cccnc12
Mol323	O=C(/C=C/c1ccco1)Nc1cccc2cccnc12
Mol324	O=C(Nc1cccc2cccnc12)c1ccc([N+](=O)[O-])cc1O
Mol325	C=CCc1cccc(F)c1C(=O)Nc1cccc2cccnc12
Mol326	c1csc(-c2cccc3cccnc23)c1
Mol327	Cc1ccc(C#N)cc1C(=O)Nc1cccc2cccnc12
Mol328	O=C(NO)c1cccc2cccnc12
Mol329	Cc1ccc(C(C)C)cc1OCC(=O)Nc1cccc2cccnc12
Mol330	CCC(C)C(=O)Nc1cccc2cccnc12
Mol331	O=S(=O)(O)O.Oc1cccc2cccnc12
Mol332	O=C(Nc1cccc2cccnc12)c1c(I)ccc(Cl)c1Cl
Mol333	CCCCC1=C(C(=O)Nc2cccc3cccnc23)CCC1
Mol334	CC(=O)OC(CC(=O)Nc1cccc2cccnc12)c1ccccc1
Mol335	OB(O)c1ccc(-c2cccc3cccnc23)cc1
Mol336	O=C(/C=C/c1ccc(Cl)cc1)Nc1cccc2cccnc12
Mol337	Nc1ccc(NC(=O)c2cccc3cccnc23)cc1
Mol338	Cc1cccc(Cc2cccc3cccnc23)c1
Mol339	CCC(=O)c1cccc2cccnc12
Mol340	BrCCCCOc1cccc2cccnc12
Mol341	C=C(C#CC(C)(C)C)C(=O)Nc1cccc2cccnc12
Mol342	CC(C)(CCl)C(=O)NCc1cccc2cccnc12
Mol343	CCCOc1cccc(C(=O)Nc2cccc3cccnc23)c1
Mol344	CC1(C(=O)Nc2cccc3cccnc23)CC1
Mol345	CC/C=C/CC(=O)Nc1cccc2cccnc12
Mol346	C[Si](C)(C)C#Cc1ccc2ccccc2n1
Mol347	Oc1c(F)cc(F)cc1CSc1cccc2cccnc12
Mol348	CC(=O)Nc1ccccc1SSc1ccccc1NC(C)=O
Mol349	Oc1c(F)cc(CSc2cccc3cccnc23)cc1F
Mol350	OCc1cccc2cccnc12
Mol351	Cc1cc(C(=O)Nc2cccc3cccnc23)on1
Mol352	C/C=C/CC(=O)N(C)c1cccc2cccnc12
Mol353	CS(=O)c1cccc2cccnc12
Mol354	O=C(CCCCCl)Nc1cccc2cccnc12
Mol355	O=S(=O)(O)Oc1ccc2ccccc2n1
Mol356	CC(=O)c1cccc(-c2ccc3ccc(C)nc3c2)c1
Mol357	Cc1ccc(C(=S)Nc2cccc3cccnc23)cc1
Mol358	Cn1cc(NC(=O)Nc2cccc3cccnc23)ccc1=O
Mol359	COc1ccc(NC(=O)C(=O)Nc2cccc3cccnc23)cc1OC
Mol360	c1ccc2nc3c(ccc4ccccc43)cc2c1
Mol361	ClC(Cl)(Cl)c1ccc2ccccc2n1
Mol362	CC(=O)CCc1cccc(C(F)(F)F)c1C(=O)Nc1cccc2cccnc12
Mol363	COc1cccc(C)c1C(=O)Nc1cccc2cccnc12
Mol364	CC(C(=O)Nc1cccc2cccnc12)c1ccc(Br)cc1
Mol365	COC(=O)CN(CC(=O)O)c1cccc2cccnc12
Mol366	O=C(Nc1ccccc1Cl)Nc1cccc2cccnc12
Mol367	Cc1ccc(NC(=O)Nc2cnc3ccccc3c2)cc1
Mol368	C=CCc1cccc(C)c1C(=O)Nc1cccc2cccnc12
Mol369	Cc1ccccc1C(C)CC(=O)Nc1cccc2cccnc12
Mol370	CC1(C(=O)Nc2cccc3cccnc23)CCN1Cc1cccc2c1OCO2
Mol371	c1ccc2ncc(Cn3cnnc3)cc2c1
Mol372	CN(C)CC1CC1c1cnc2ccccc2c1
Mol373	O=C(Cc1ccccc1Cl)Nc1cccc2cccnc12
Mol374	COC(=O)C(Cc1cccc2cccnc12)C(C)=O
Mol375	CC(C)(C)c1csc(Nc2cccc3cccnc23)n1
Mol376	O=COc1cccc2cccnc12
Mol377	C=CC(CCOC)C(=O)Nc1cccc2cccnc12
Mol378	O=C(OCc1cccc2cccnc12)c1ccco1
Mol379	COC(OC)C(C(=O)Nc1cccc2cccnc12)C(C)C
Mol380	c1ccc(NCc2cccc3cccnc23)cc1
Mol381	C/C(=N\NC(N)=O)c1cccc2cccnc12
Mol382	O=C(Nc1cccc2cccnc12)c1ccc(C(F)(F)F)cc1I
Mol383	CC(=O)Nc1ccc2c(-c3cccc(F)c3)ccnc2c1O
Mol384	Nc1cc(F)ccc1S(=O)(=O)Nc1cccc2cccnc12
Mol385	CC(Oc1cccc2cccnc12)C(=O)c1ccccc1
Mol386	O=C(Cc1cccc2cccnc12)Nc1cccc(Cl)c1
Mol387	CC(=O)/C=C/c1ccc2ccccc2n1
Mol388	Cc1ccc(Nc2cccc3cccnc23)cc1
Mol389	O=[N+]([O-])c1ccccc1Nc1cccc2cccnc12
Mol390	NS(=O)(=O)c1ccc(-c2cnc3ccccc3c2)cc1
Mol391	CC(=O)CCC(=O)c1ccc2ccccc2n1
Mol392	CC(C)(O)C#Cc1cccc2cccnc12
Mol393	O=C(OCc1ccccc1)c1ccnc2ccccc12
Mol394	CCc1ccc(NC(=O)c2cccc3cccnc23)cc1
Mol395	Cc1ccc(CC(F)(F)F)c(C(=O)Nc2cccc3cccnc23)c1
Mol396	COc1ccc(NCc2cccc3cccnc23)cc1
Mol397	Cc1ccc(NC(=O)Oc2cccc3cccnc23)cc1[N+](=O)[O-]
Mol398	Cc1ccc(Nc2nccc(-c3cnc4ccccc4c3)n2)cc1
Mol399	O=C(O)CCCC(=O)Oc1cccc2cccnc12
Mol400	Brc1ccnc(-c2cccc3cccnc23)c1
Mol401	CCOC(=O)NC(=S)Nc1cccc2cccnc12
Mol402	O=[N+]([O-])c1cccnc1NCc1cccc2cccnc12
Mol403	C=C(C)Cc1cc(Cl)ccc1OC(=O)c1cccc2cccnc12
Mol404	Cc1cccc(/C=N/c2cccc3cccnc23)n1
Mol405	CC(C)Oc1ccc(C(=O)CSc2cccc3cccnc23)cc1
Mol406	O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1cccc2cccnc12
Mol407	O=CCCc1cccc2cccnc12
Mol408	BrC(Br)=Cc1ccc2ccccc2n1
Mol409	CCOc1cccc2ncccc12
Mol410	Cc1ccc(S(=O)(=O)Oc2cccc3cccnc23)cc1
Mol411	CC(=O)NC(c1ccco1)c1ccc2cccnc2c1O
